Date,Total Diverted Raw + Seasonal AF
"January 1, 2001",8.11
"January 2, 2001",5.22
"January 3, 2001",3.72
"January 4, 2001",4.33
"January 5, 2001",9.315
"January 6, 2001",9.565
"January 7, 2001",9.04
"January 8, 2001",4.49
"January 9, 2001",2.83
"January 10, 2001",4.33
"January 11, 2001",8.5
"January 12, 2001",9.18
"January 13, 2001",9.17
"January 14, 2001",5.22
"January 15, 2001",3.85
"January 16, 2001",3.19
"January 17, 2001",9.27
"January 18, 2001",8.996
"January 19, 2001",7.55
"January 20, 2001",7.22
"January 21, 2001",6.87
"January 22, 2001",6.74
"January 23, 2001",4.9
"January 24, 2001",7.09
"January 25, 2001",7.43
"January 26, 2001",7.51
"January 27, 2001",6.47
"January 28, 2001",5.91
"January 29, 2001",5.41
"January 30, 2001",4.54
"January 31, 2001",4.8
"February 1, 2001",6.769
"February 2, 2001",7.621
"February 3, 2001",7.49
"February 4, 2001",7.24
"February 5, 2001",7.2
"February 6, 2001",7.198
"February 7, 2001",7.024
"February 8, 2001",7.52
"February 9, 2001",6.05
"February 10, 2001",5.78
"February 11, 2001",5.75
"February 12, 2001",5.78
"February 13, 2001",5.49
"February 14, 2001",5.68
"February 15, 2001",5.89
"February 16, 2001",6.04
"February 17, 2001",5.61
"February 18, 2001",5.95
"February 19, 2001",8.38
"February 20, 2001",8.32
"February 21, 2001",6.19
"February 22, 2001",6.096
"February 23, 2001",7.83
"February 24, 2001",9.33
"February 25, 2001",7.93
"February 26, 2001",6.78
"February 27, 2001",6.02
"February 28, 2001",6.25
"March 1, 2001",6.51
"March 2, 2001",6.49
"March 3, 2001",6.54
"March 4, 2001",6.59
"March 5, 2001",7.11
"March 6, 2001",9.29
"March 7, 2001",8.36
"March 8, 2001",6.68
"March 9, 2001",6.54
"March 10, 2001",5.89
"March 11, 2001",5.88
"March 12, 2001",5.87
"March 13, 2001",5.89
"March 14, 2001",6.58
"March 15, 2001",6.25
"March 16, 2001",5.94
"March 17, 2001",5.94
"March 18, 2001",5.94
"March 19, 2001",5.94
"March 20, 2001",7.46
"March 21, 2001",7.63
"March 22, 2001",7.61
"March 23, 2001",7.5
"March 24, 2001",6.77
"March 25, 2001",4.49
"March 26, 2001",4.34
"March 27, 2001",3.24
"March 28, 2001",9.19
"March 29, 2001",8.18
"March 30, 2001",7.63
"March 31, 2001",7.64
"April 1, 2001",6.88
"April 2, 2001",9.44
"April 3, 2001",6.35
"April 4, 2001",6.32
"April 5, 2001",6.359
"April 6, 2001",6.34
"April 7, 2001",6.64
"April 8, 2001",6.65
"April 9, 2001",6.17
"April 10, 2001",6.15
"April 11, 2001",3.84
"April 12, 2001",5.05
"April 13, 2001",8.154
"April 14, 2001",8.558
"April 15, 2001",8.36
"April 16, 2001",6.67
"April 17, 2001",6.71
"April 18, 2001",9.47
"April 19, 2001",9.42
"April 20, 2001",7.95
"April 21, 2001",9.69
"April 22, 2001",5.99
"April 23, 2001",2.66
"April 24, 2001",7.45
"April 25, 2001",8.53
"April 26, 2001",5.3
"April 27, 2001",11.61
"April 28, 2001",11.76
"April 29, 2001",11.75
"April 30, 2001",11.68
"May 1, 2001",9.142
"May 2, 2001",8.54
"May 3, 2001",8.13
"May 4, 2001",6.63
"May 5, 2001",6.52
"May 6, 2001",6.91
"May 7, 2001",6.48
"May 8, 2001",12.91
"May 9, 2001",3.347
"May 10, 2001",15.14
"May 11, 2001",13.07
"May 12, 2001",15
"May 13, 2001",15.3
"May 14, 2001",14.45
"May 15, 2001",14.92
"May 16, 2001",13.81
"May 17, 2001",13.41
"May 18, 2001",11.07
"May 19, 2001",9.9
"May 20, 2001",8.96
"May 21, 2001",9.2
"May 22, 2001",12.89
"May 23, 2001",14.13
"May 24, 2001",10.35
"May 25, 2001",15.11
"May 26, 2001",16.52
"May 27, 2001",16.296
"May 28, 2001",17.68
"May 29, 2001",15.19
"May 30, 2001",7.787
"May 31, 2001",9.07
"June 1, 2001",14.68
"June 2, 2001",15.71
"June 3, 2001",16.3
"June 4, 2001",15.87
"June 5, 2001",12.18
"June 6, 2001",13.4
"June 7, 2001",16.49
"June 8, 2001",19.7
"June 9, 2001",20.87
"June 10, 2001",16.49
"June 11, 2001",18.71
"June 12, 2001",19.32
"June 13, 2001",21.12
"June 14, 2001",15.75
"June 15, 2001",11.36
"June 16, 2001",17.49
"June 17, 2001",16.83
"June 18, 2001",21
"June 19, 2001",20
"June 20, 2001",21.98
"June 21, 2001",18.54
"June 22, 2001",22.99
"June 23, 2001",26.29
"June 24, 2001",23.06
"June 25, 2001",22.39
"June 26, 2001",22.26
"June 27, 2001",17.51
"June 28, 2001",19.96
"June 29, 2001",21.39
"June 30, 2001",24.71
"July 1, 2001",24.01
"July 2, 2001",19.31
"July 3, 2001",28.66
"July 4, 2001",29.439
"July 5, 2001",27.76
"July 6, 2001",24.07
"July 7, 2001",24.86
"July 8, 2001",24.57
"July 9, 2001",20.4
"July 10, 2001",18.239
"July 11, 2001",19.305
"July 12, 2001",17.26
"July 13, 2001",14.82
"July 14, 2001",8.84
"July 15, 2001",13.07
"July 16, 2001",17.34
"July 17, 2001",22.16
"July 18, 2001",23.348
"July 19, 2001",21.68
