year,month,customer class,value
2019,1,ICOMM,41445
2019,1,IMULT,29362
2019,1,NP IRR,0
2019,1,OCOMM,99
2019,1,ORES,29
2019,1,POTABLE IRR,706
2019,1,TOTAL IRES TIERS,28783
2019,1,TOTAL IRR (POTABLE + NP IRR),706
2019,2,ICOMM,20498
2019,2,IMULT,13180
2019,2,NP IRR,0
2019,2,OCOMM,95
2019,2,ORES,16
2019,2,POTABLE IRR,207
2019,2,TOTAL IRES TIERS,15580
2019,2,TOTAL IRR (POTABLE + NP IRR),207
2019,3,ICOMM,19538
2019,3,IMULT,12166
2019,3,NP IRR,0
2019,3,OCOMM,89
2019,3,ORES,13
2019,3,POTABLE IRR,183
2019,3,TOTAL IRES TIERS,13923
2019,3,TOTAL IRR (POTABLE + NP IRR),183
2019,4,ICOMM,23539
2019,4,IMULT,13900
2019,4,NP IRR,34
2019,4,OCOMM,90
2019,4,ORES,17
2019,4,POTABLE IRR,394
2019,4,TOTAL IRES TIERS,16318
2019,4,TOTAL IRR (POTABLE + NP IRR),428
2019,5,ICOMM,22547
2019,5,IMULT,12324
2019,5,NP IRR,107
2019,5,OCOMM,67
2019,5,ORES,9
2019,5,POTABLE IRR,2813
2019,5,TOTAL IRES TIERS,17433
2019,5,TOTAL IRR (POTABLE + NP IRR),2920
2019,6,ICOMM,28513
2019,6,IMULT,13597
2019,6,NP IRR,6030
2019,6,OCOMM,87
2019,6,ORES,9
2019,6,POTABLE IRR,11896
2019,6,TOTAL IRES TIERS,23880
2019,6,TOTAL IRR (POTABLE + NP IRR),17926
2019,7,ICOMM,35574
2019,7,IMULT,15910
2019,7,NP IRR,10460
2019,7,OCOMM,83
2019,7,ORES,13
2019,7,POTABLE IRR,21982
2019,7,TOTAL IRES TIERS,40836
2019,7,TOTAL IRR (POTABLE + NP IRR),32442
2019,8,ICOMM,38367
2019,8,IMULT,17113
2019,8,NP IRR,10104
2019,8,OCOMM,62
2019,8,ORES,20
2019,8,POTABLE IRR,27077
2019,8,TOTAL IRES TIERS,48189
2019,8,TOTAL IRR (POTABLE + NP IRR),37181
2019,9,ICOMM,39436
2019,9,IMULT,18023
2019,9,NP IRR,12508
2019,9,OCOMM,53
2019,9,ORES,15
2019,9,POTABLE IRR,25199
2019,9,TOTAL IRES TIERS,47596
2019,9,TOTAL IRR (POTABLE + NP IRR),37707
2019,10,ICOMM,34039
2019,10,IMULT,16895
2019,10,NP IRR,2339
2019,10,OCOMM,48
2019,10,ORES,15
2019,10,POTABLE IRR,16875
2019,10,TOTAL IRES TIERS,37342
2019,10,TOTAL IRR (POTABLE + NP IRR),19214
2019,11,ICOMM,20048
2019,11,IMULT,12340
2019,11,NP IRR,59
2019,11,OCOMM,65
2019,11,ORES,10
2019,11,POTABLE IRR,1355
2019,11,TOTAL IRES TIERS,14252
2019,11,TOTAL IRR (POTABLE + NP IRR),1414
2019,12,ICOMM,20906
2019,12,IMULT,13359
2019,12,NP IRR,3
2019,12,OCOMM,52
2019,12,ORES,19
2019,12,POTABLE IRR,304
2019,12,TOTAL IRES TIERS,14380
2019,12,TOTAL IRR (POTABLE + NP IRR),307
2020,1,ICOMM,20453
2020,1,IMULT,13344
2020,1,NP IRR,0
2020,1,OCOMM,66
2020,1,ORES,14
2020,1,POTABLE IRR,339
2020,1,TOTAL IRES TIERS,15178
2020,1,TOTAL IRR (POTABLE + NP IRR),339
2020,2,ICOMM,23259
2020,2,IMULT,14016
2020,2,NP IRR,0
2020,2,OCOMM,59
2020,2,ORES,12
2020,2,POTABLE IRR,235
2020,2,TOTAL IRES TIERS,15556
2020,2,TOTAL IRR (POTABLE + NP IRR),235
2020,3,ICOMM,20859
2020,3,IMULT,13208
2020,3,NP IRR,0
2020,3,OCOMM,69
2020,3,ORES,12
2020,3,POTABLE IRR,238
2020,3,TOTAL IRES TIERS,12976
2020,3,TOTAL IRR (POTABLE + NP IRR),238
2020,4,ICOMM,15142
2020,4,IMULT,13063
